ID	tat_toxic	tat_detox1
0	Э блэт,мин футбол уйнарга яратам)	Мин очкын йрк оча башласа...	Гомумн барыйк, моннан китйк	Безне кешелребез авыр хлд икн, нрс чен барыйк? Без Маранины яратабыз дип терелчкбезме?	Аларны берсе килеп безг хнзбчк булса, 'мин кызыксынмыйм' дип йтчкбез	Ялганга йлнмгез, ялганнан сакланыгыз	Ни чен зе зе белн сйлшсез?	Нинди яз, су салкын	Алар чен сидек д, су да берк	Глнара, кп вакыт тте, алашылган	Тп нрс - сламтлек!	Син нинди нрс турында сйлшсе, иптш?	Матвей, м син нрс булды, зене мгънсез сйлше леп булдымы?	Башка кызлар белн флирт ясама, алар сезне танып та белмс	Яхшы, сез д кызларсыз икн	Кызлар армияг китслр, аларны егетлре калуынмы, нрс икн? Мин аламыйм!	Алар белн дуслыкка кызмы, сезне ялгыш юлга китерерлр!	Без Энкэйг бармабыз, анда кызлар юк, баруны нрс хйраны бар?	Кп кызлар шундый, егетлр белн флирт ясаа, ахырда аларны ташлыйлар!	Эй, эй, аноним, мине фотоларда флирт ясаума! Син мине тибыма тгел!!!	Бу хакта сйлшмйк, тикшермйк	Сез сйлшдн ялкарыдыгызмы? Сез белн сйлшне нрс хйраны бар?!	Сез - кызны да яратылмаган егет!	Татар егетлре шундый, эчкч, аларны игътибар итмгез	Мин хзер ирекле! Мин нрс чен кттем?	Шундый сзлр язмагыз, лкмгез!!!	Ни чен шулай кулыны кйг алып утырасы, тора, эшл!	Сезне нрсгез бетте? Сезне проблемаыз нрс?	Сорау бир карлы булмаса да, шулай утыру ярамый!	Без беркемдн д куркмабыз, мма сез - яуызсыз, кешелрг караш та белмсез	Мин берднбер, ни булды, иптш?	Сез базар халыкларыннан да яманрак, кешелрне тыймыйсез!	Иптш, мин сйлйм, итрлек!;-) мондый имнлек нрс бу?	Мин сез белн хл каттым, тагын бер сз йтрг кирк юк	Аннары алар тура яктыртып крст башлыйлар - сез футболистсыз, алашылган, шулай эшлрг кирк юк	Алар сезне алдыйлар икн, сез д шуны белн ышанып ятасызмы?	Сез нкбт кпмтт алданасыз?	Татарлар шундый гына булып корыйлар икн	Леся, кырда ат бар, шуны нрс эшлрг белмисе, кагылма!	Кайт, Гата!	Кзтчн, алар барысы да сарык кебек, бер-берсен эчрлек	Матурылыкка ни зге бар? Без матурылыкны белбезме?	Мин бу балапарлардан бик туйдым, мин аларны яздырып бетердем, тмам	Кара тнлелр чен ясалган, мин аны алмам, буш	Кызлар, сезне егетлрегез сезг енси мнсбтк керерг йтс, сез эшлсезме?	Сезне 'ни кайда укый алам?' дигн сорауларыыздан бик туйдым, бу гит хбре тгел!	Сез кайда идеез, ни чен сезне монда крмдем?	Сезне WhatsApp'тан бик туйдым	Мин алашылган, сез белн хл каттым, алашылган	Яхшы, мин туалетка утырып алыйм...
1	Дорес эйтэсен авызынны сегим))))))
2	блэт ойгэ бэрэнге корты керган,шуна нинди исем кушып була??
3	корт малай,...или..кыз...хуй пойми короче,но булышыгыз зинхар!
4	Узен сегеп ташларбыз бля
5	теге, чуркалар сатып йорилэр бит эле обычно...шуны эйтэсенме?
6	узе усэ ул, заебали ул тырнакларыгыз белэн
7	егетем долбаеб,ни акчасы ни машинасы юк,ни эшлэми,эшлэргэ уйлыйсынмы дигэн идем упкэлэде
8	татарларның башка эше юк ич, марҗаның китабын тәрҗемә итәләр..
9	пиздец, алкашка чыгарып бетерделэр и вообще, кем эйтте сон сезгэ мин эчтем дип_))
10	админ анонмно тугел дидем бит раздолбай булма инде)
11	бля))))маладис инде узен)))))
12	Хәзер инде бу сүз белән ахмак яки наив кешеләрне атыйлар.
13	Эчсен,тартсын,маржа гына булмасын   
14	нинди ахмаклар йортэ бездэ машинаны???
15	Сэгэтлэп жибэрсэн выгодней,снимать итеп кылар бн ял итучелэр да@хуя булыр)))
16	Аделия узе язып мазга  сегеп утырадыр эле))))
17	ох блэт кызлар))
18	узегездэн генэ алихэ ясамагыз инде бля!
19	язасын кайбер вакытта жавапта язмыйлар, каблук астына керу туйдыра например, вот потом и хуй забивают
20	Сугенмэ, блэт!:))
21	Сезгэ шул бляльлэр генэ кирэк инде йоргэндэ ...
22	Эбием-татар карчыгы-булэклэр бирми иде, маржаны яраткан эчен каргый да, тирги иде
23	Ой, башка группадан спиздили инде бу язманы)
24	хуйня инде бер суксан ката торган, куркып тормаска кирэк юк бар нэмэдэ
25	кеше бит нехира мында юк
26	ошамай икэн уебывайте,берседэ тотмый.
27	Все заебали,кайсы кызга барып эндэшмэ бар да блядь .......
28	Матур,аххххуенный жырлар жибэрегез эле дуслар;))
29	Не заебалисьмы кызларны чэйнэп?
30	хуйня ул, главный тазалык булсын_)))
31	секте моны укырга  кыскача гына эйтеп бирегез.
32	эллэ маржалар безнен турында кыек суз эйтте?
33	Бу \"не татарин\" туйдырды инде, энэ маржушкаларга влюбляться итсен, татар кызларына карап селэгэй агызганчы
34	а никого не нужно учить,ак каенга ак каен,уз раздолбай булсан шушы хатан да сина элэгер!
35	татар кызы татарча язган булыр иде)маржа?
36	шул кадэр синен яраткан ризыгынны бирсэлэр син дэ в ахуе булыр иден
37	авызынны сегим сарык бля, булды житэр инде, мин анын бн сойлэшмим дэ
38	2 симкалы 2 нече эшлэми нихера)
39	оглянулся ниндидер охуенный зур хуйня очып китте, эт чаклы узе, койма остеннэн, жил чыгарып, яктыурыннан очканда канатларын курдем где то 2-3 метр не меньше
40	актанышта педиклар купме??
41	маржа телде аралашасын..татарлар бэлэн
42	синен, очен государство тугел дер, минем очен ул туган ил, государство бляяять!
43	Узем кайтам хэзер блэт:)
